"Class", 'Sentence", num
"Outside Analysis", 'Describe other experiences that do not fit the frame (before during and after):', 100,
"Outside Analysis", 'The burdens of transportation was mentioned.', 100,
"Outside Analysis", 'Some even said that they move from one place to another to another to reduce the cost of treatment and shorten the waiting time for services in nearby centers.', 100, 
"Outside Analysis", 'It may take months to get an appointment at some centers.', 100,
"Outside Analysis", 'One woman spoke of a humanitarian service she received from a Chief Practitioner.', 100, 
"Outside Analysis", 'She encountered a problem and he treated her humanely neglecting the routine procedures and treating her daughter.', 100,
"Outside Analysis", 'She summed it up by saying that the service depends on the doctor.', 100,
"Outside Analysis", 'If only there is a treatment center for burns and cosmetic treatment.', 100,
"Outside Analysis", 'If only there is treatment and coverage for the cost of delivery and childbirth.', 100,
"Outside Analysis", 'It was mentioned that lack of money is the biggest obstacle to receiving good services in addition to the exploitation and high cost of transportation.', 100,
"Outside Analysis", 'I wish there was full coverage of the costs of medications and at least partial coverage of the costs of operations.', 100,
"Outside Analysis", 'I wish there was Health care can be provided to children and for emergency conditions.', 100,
"Outside Analysis", 'I wish there were healthcare locations in vital areas with easy and accessible transportations.', 100,
"Outside Analysis", 'All the processes she took are correct but she was deluded to think she can get some financial support so all of her observations were about not getting any financial support.', 100,
"Outside Analysis", 'She did not provide me with the full stages that she went through during the treatment.', 100,
"Outside Analysis", 'She only mentioned and simple mechanisms that other members of the groups already mentioned.', 100,
"Outside Analysis", 'She had very sad eyes while telling the story.', 100,
"Outside Analysis", 'She even burst into tears.', 100,
"Outside Analysis", 'She believes justice is more important than financial support.', 100, 
"Outside Analysis", 'She and her brother requires psychological support.', 100,
"Outside Analysis", 'Yes some cases have no stages (before - after - during) because they are urgent and constitute an emergency (no warning).', 100,
"Outside Analysis", 'So it is a very difficult experience starting with finding the right place for treatment securing the money in a hurry to dealing with the problem of no doctors in a certain shift.', 100,
"Outside Analysis", 'A 45 years old Syrian women told me her experience.', 100,
"Outside Analysis", 'Her grandson who is 1.5 years old and Syrian suffers from a severe and chronic asthma.', 100,
"Outside Analysis", 'They went to the government hospital in Zatari camp but the doctor refused to treat the child and told her that he has no UNHCR ID card or any identification papers to prove his nationality.', 100,
"Outside Analysis", 'The child's condition was very deplorable and critical but the doctor ignored her pleas.', 100, 
"Outside Analysis", 'Instead he told her to go to Rahma Hospital.', 100,
"Outside Analysis", 'Indeed she went to Rahma Hospital and had to cover the cost of transportation.', 100,
"Outside Analysis", 'She thought the new hospital would treat her just like the one in the camp.', 100,
"Outside Analysis", 'So she decided to admit the child under the name of her 3-year-old daughter despite the risks associated with admitting him as a younger female.', 100,
"Outside Analysis", 'When they arrived she was asked to pay 50 JDs as insurance.', 100,
"Outside Analysis", 'After the child was treated she was presented with a 130 JDs bill which she could not afford.', 100,
"Outside Analysis", 'They spent about 8 consecutive days in the hospital.', 100,
"Outside Analysis", 'It was very difficult for this woman and her child who was held hostage for three days until the hospital account was paid.', 100,
"Outside Analysis", 'The hospital treated her and her child as an account not urgent human cases.', 100,
"Outside Analysis", 'She endured a lot but still looks for someone to help her cover the cost of treatment for her and her children.', 100,
"Outside Analysis", 'There are five cases in the house that requires medical attention.', 100,
"Outside Analysis", 'Also she suffers from blood clots under the skin and body in addition to diabetes and hypertension.', 100,
"Outside Analysis", 'She said she does not want anything no money or anything besides a safe place that meets her medical needs.', 100,
"Outside Analysis", 'I thanked her for providing me with information and she thanked me for listening to her before entrusting me to deliver her voice and story to the officials and those who can create change.', 100,
"Outside Analysis", 'I had a meeting with 3 young married women the oldest of which is 42 years old.', 100,
"Outside Analysis", 'We talked about how to access and obtain health care services and how each of them decided to go to the doctor.', 100,
"Outside Analysis", 'They responded by stating that after a great deal of pain disease and developing symptoms they finally decided to seek treatment at private centers or clinics.', 100,
"Outside Analysis", 'All of the women have had difficulty accessing to health services because of transportation and its cost.', 100,
"Outside Analysis", 'After they went to receive treatment and were examined some were suffering from severe calcareous shortage others had hormonal vaginal infections (which tests were very costly) slip disks back and joint pain etc.', 100,
"Outside Analysis", 'One woman in particular was suffering from bleeding due to pregnancy and her situation was very serious.', 100,
"Outside Analysis", 'All of the women agreed that the services they received did not meet all their needs and that they had to pay large amounts of money in exchange of these services.', 100,
"Outside Analysis", 'It was clear that they were fatigued showing clear signs of frustration due to their poor health.', 100,
"Outside Analysis", 'One of the women visited the Emirati hospital in Mafraq to receive treatment but regretted her decision because she had difficulty in accessing and obtaining the health services there.', 100,
"Outside Analysis", 'She also had to wait for over 6 hours in a queue.', 100,
"Outside Analysis", 'All of the participants wish to deliver their voices to the officials who can help alleviate their suffering.', 100,
"Outside Analysis", 'They also confirmed that the only thing they want is medical treatment and medicine that is accessible to everyone.', 100,
"Outside Analysis", 'I thanked them for all the information they provided and when I asked questions about NGOs and IRC they thanked me for caring and listening to them.', 100,
"Outside Analysis", 'They also thanked IRC for taking the time to listen to their problems.', 100,
"Outside Analysis", 'Finally I concluded the meeting by thanking them and wishing them all the best.', 100,
"Personal", 'They show clear interest in the health of their children.', 100,
"Personal", 'They want to receive the best care and they possess some knowledge and information that are useful when dealing with emergency cases.', 100,
"Personal", 'The need to access basic health services is a major obstacle for our Syrian brothers and sisters.', 100,
"Personal", 'Financial support does not cover 70% of full treatment as reported by most health care organizations.', 100,
"Personal", 'So the risks to them are great.', 100,
"Personal", 'Organizations need to work together closely because I believe the main reason Syrians left their country was not bullets or bombs like most other people, but the fear that they could not receive the periodic medical treatment they need to survive.', 100,
"Personal", 'All of the interviewees have the same problem but in different ways.', 100,
"Personal", 'They cannot find treatment and there is no one who can cover the expenses of their treatment.', 100,
"Personal", 'No organization can afford to fully cover the cost of their treatment.', 100,
"Personal", 'All of the interviewees are forced to pay a lot of money to receive health care services.', 100,
"Personal", 'Some go to organizations believing that they will find treatment but they find nothing and have to endure the cost of transportation.', 100,
"Personal", 'Some go to organizations and discover that they had the wrong address.', 100,
"Personal", 'They all regret going to organizations and government centers because they do not receive services there.', 100,
"Personal", 'On the contrary they feel humiliated and treated as papers and IDs.', 100,
"Personal", 'What did they do to deserve this?', 100,
"Personal", 'They are people like us and one of the simplest rights they deserve is medical treatment for them and their children.', 100,
"Personal", 'The only thing they can do is pray to God to relieve their suffering.', 100,
"Personal", 'They endure unspeakable hardship.', 100,
"Personal", 'When I asked them about the organizations and the difference between IRC and other organizations.', 100,
"Personal", 'Some said that they never heard of IRC.', 100,
"Personal", 'Others said that IRC appoints people who do not do their jobs well and treat people badly.', 100,
"Personal", 'They also said that the employees are Syrian who only help their relatives.', 100,
"Personal", 'They wish IRC would take care of this problem because it distorts IRC’s image.', 100, 
"Personal", 'Others wish IRC would open a department to provide healthcare services respond to all their health needs and cover the expenses and the cost of treatment and emergency operations for them and their children.', 100,
"Personal", 'I Hanan Abdel Rahim Al-Zu'bi wish the same because I am one of them and I suffer like them.', 100,
"Personal", 'After the session I noticed that most people have a very negative impression formed around the treatment provided at the free health service centers.', 100,
"Personal", 'They believe these services are useless and hard to access.', 100,
"Personal", 'Most refugees resort to good healthy habits that reduce their risk of disease and when they have a simple illness or health condition they resort to painkillers or alternative natural treatments.', 100,
"Personal", 'They only go to the doctor when their health severely deteriorates and even then they prefer to go to a private doctor and pay for the service although it constitutes a burden.', 100,
"Personal", 'They simply do this because they are convinced of the inefficiency of free service centers.', 100,
"Personal", 'People were very interested in attending awareness and health education lectures as they consider them to be a source of learning that could help them avoid diseases.', 100,
