word,freq,cluster#,,,,,,
energy,18,2,,,,,,
engagement,41,2,,,,,,
entrepreneurs,86,2,,,,,,
ethical,5,2,,,,,,
foundation,92,2,,,,,,
good,156,2,,,,,,
information,163,2,,,,,,
issues,79,2,,,,,,
just,198,2,,,,,,
leaders,245,2,,,,,,
likely,88,2,,,,,,
local,190,2,,,,,,
media,39,2,,,,,,
members,215,2,,,,,,
model,128,2,,,,,,
money,211,2,,,,,,
national,71,2,,,,,,
network,63,2,,,,,,
networks,67,2,,,,,,
person,45,2,,,,,,
program,262,2,,,,,,
programs,235,2,,,,,,
resources,165,2,,,,,,
school,55,2,,,,,,
schools,37,2,,,,,,
science,18,2,,,,,,
scientists,7,2,,,,,,
service,201,2,,,,,,
services,292,2,,,,,,
set,98,2,,,,,,
societal,3,2,,,,,,
strategy,108,2,,,,,,
think,81,2,,,,,,
values,65,2,,,,,,
volunteer,41,2,,,,,,
volunteers,47,2,,,,,,
year,107,2,,,,,,
big,49,3,,,,,,
business,292,3,,,,,,
citizens,13,3,,,,,,
city,26,3,,,,,,
community,147,3,,,,,,
cost,137,3,,,,,,
costs,124,3,,,,,,
countries,14,3,,,,,,
data,159,3,,,,,,
development,107,3,,,,,,
funding,416,3,,,,,,
global,54,3,,,,,,
group,165,3,,,,,,
growth,145,3,,,,,,
high,81,3,,,,,,
important,200,3,,,,,,
information,163,3,,,,,,
international,39,3,,,,,,
leaders,245,3,,,,,,
like,200,3,,,,,,
members,215,3,,,,,,
million,204,3,,,,,,
model,128,3,,,,,,
money,211,3,,,,,,
national,71,3,,,,,,
organization,596,3,,,,,,
policy,39,3,,,,,,
political,31,3,,,,,,
poor,43,3,,,,,,
poverty,32,3,,,,,,
private,94,3,,,,,,
program,262,3,,,,,,
programs,235,3,,,,,,
public,230,3,,,,,,
religious,7,3,,,,,,
research,194,3,,,,,,
sector,288,3,,,,,,
service,201,3,,,,,,
services,292,3,,,,,,
society,23,3,,,,,,
state,68,3,,,,,,
states,17,3,,,,,,
support,197,3,,,,,,
time,328,3,,,,,,
use,202,3,,,,,,
year,107,3,,,,,,
approach,127,4,,,,,,
business,292,4,,,,,,
community,147,4,,,,,,
create,150,4,,,,,,
design,39,4,,,,,,
design thinking,10,4,,,,,,
develop,89,4,,,,,,
development,107,4,,,,,,
different,158,4,,,,,,
example,281,4,,,,,,
experience,85,4,,,,,,
food,43,4,,,,,,
government,242,4,,,,,,
idea,65,4,,,,,,
ideas,82,4,,,,,,
impact,243,4,,,,,,
innovations,17,4,,,,,,
knowledge,98,4,,,,,,
leadership,151,4,,,,,,
like,200,4,,,,,,
local,190,4,,,,,,
make,304,4,,,,,,
members,215,4,,,,,,
needs,147,4,,,,,,
organizational,149,4,,,,,,
organizations,720,4,,,,,,
partners,91,4,,,,,,
people,443,4,,,,,,
problem,83,4,,,,,,
produce,26,4,,,,,,
programs,235,4,,,,,,
project,75,4,,,,,,
public,230,4,,,,,,
resources,165,4,,,,,,
scale,68,4,,,,,,
scaling,18,4,,,,,,
school,55,4,,,,,,
science,18,4,,,,,,
sector,288,4,,,,,,
solution,27,4,,,,,,
solutions,44,4,,,,,,
students,49,4,,,,,,
success,89,4,,,,,,
support,197,4,,,,,,
team,94,4,,,,,,
thinking,28,4,,,,,,
way,179,4,,,,,,
ways,99,4,,,,,,
access,61,5,,,,,,
action,25,5,,,,,,
approach,127,5,,,,,,
awareness,16,5,,,,,,
benefits,78,5,,,,,,
better,159,5,,,,,,
business,292,5,,,,,,
campaign,41,5,,,,,,
change,189,5,,,,,,
children,83,5,,,,,,
community,147,5,,,,,,
efforts,56,5,,,,,,
evidence,44,5,,,,,,
family,28,5,,,,,,
field,54,5,,,,,,
financial,226,5,,,,,,
focus,128,5,,,,,,
global,54,5,,,,,,
global health,20,5,,,,,,
good,156,5,,,,,,
high,81,5,,,,,,
impact,243,5,,,,,,
interventions,15,5,,,,,,
just,198,5,,,,,,
leaders,245,5,,,,,,
like,200,5,,,,,,
likely,88,5,,,,,,
local,190,5,,,,,,
measures,25,5,,,,,,
medical,32,5,,,,,,
members,215,5,,,,,,
million,204,5,,,,,,
national,71,5,,,,,,
patients,26,5,,,,,,
percent,214,5,,,,,,
policy,39,5,,,,,,
program,262,5,,,,,,
programs,235,5,,,,,,
results,73,5,,,,,,
scale,68,5,,,,,,
services,292,5,,,,,,
states,17,5,,,,,,
systems,55,5,,,,,,
team,94,5,,,,,,
time,328,5,,,,,,
united,3,5,,,,,,
women,29,5,,,,,,
years,225,5,,,,,,
bank,18,6,,,,,,
buy,11,6,,,,,,
carbon,2,6,,,,,,
change,189,6,,,,,,
clients,62,6,,,,,,
company,103,6,,,,,,
consumer,20,6,,,,,,
consumption,11,6,,,,,,
corporate,119,6,,,,,,
create,150,6,,,,,,
customers,41,6,,,,,,
data,159,6,,,,,,
development,107,6,,,,,,
economic,76,6,,,,,,
energy,18,6,,,,,,
entrepreneurs,86,6,,,,,,
environmental,65,6,,,,,,
fair,8,6,,,,,,
financial,226,6,,,,,,
good,156,6,,,,,,
green,8,6,,,,,,
growth,145,6,,,,,,
impact,243,6,,,,,,
information,163,6,,,,,,
like,200,6,,,,,,
local,190,6,,,,,,
market,132,6,,,,,,
marketing,64,6,,,,,,
markets,31,6,,,,,,
microfinance,17,6,,,,,,
model,128,6,,,,,,
money,211,6,,,,,,
organization,596,6,,,,,,
organizations,720,6,,,,,,
percent,214,6,,,,,,
poor,43,6,,,,,,
poverty,32,6,,,,,,
power,76,6,,,,,,
product,35,6,,,,,,
public,230,6,,,,,,
savings,9,6,,,,,,
social,829,6,,,,,,
sustainable,47,6,,,,,,
time,328,6,,,,,,
trade,10,6,,,,,,
work,281,6,,,,,,
world,100,6,,,,,,
better,159,7,,,,,,
capital,216,7,,,,,,
children,83,7,,,,,,
circles,31,7,,,,,,
class,10,7,,,,,,
classroom,11,7,,,,,,
community,147,7,,,,,,
design,39,7,,,,,,
development,107,7,,,,,,
different,158,7,,,,,,
educational,32,7,,,,,,
efforts,56,7,,,,,,
evidence,44,7,,,,,,
experience,85,7,,,,,,
government,242,7,,,,,,
group,165,7,,,,,,
health,90,7,,,,,,
higher,36,7,,,,,,
human,76,7,,,,,,
individualism,10,7,,,,,,
institutions,27,7,,,,,,
interventions,15,7,,,,,,
just,198,7,,,,,,
knowledge,98,7,,,,,,
online,70,7,,,,,,
organization,596,7,,,,,,
parents,21,7,,,,,,
percent,214,7,,,,,,
private,94,7,,,,,,
program,262,7,,,,,,
programs,235,7,,,,,,
public,230,7,,,,,,
reform,14,7,,,,,,
results,73,7,,,,,,
says,220,7,,,,,,
schools,37,7,,,,,,
skills,55,7,,,,,,
social capital,10,7,,,,,,
student,24,7,,,,,,
students,49,7,,,,,,
success,89,7,,,,,,
teacher,17,7,,,,,,
teachers,38,7,,,,,,
teaching,11,7,,,,,,
training,59,7,,,,,,
women,29,7,,,,,,
world,100,7,,,,,,
years,225,7,,,,,,
advocacy,58,8,,,,,,
assets,28,8,,,,,,
businesses,80,8,,,,,,
capital,216,8,,,,,,
change,189,8,,,,,,
climate,6,8,,,,,,
commercial,81,8,,,,,,
companies,103,8,,,,,,
company,103,8,,,,,,
economic,76,8,,,,,,
energy,18,8,,,,,,
enterprise,81,8,,,,,,
enterprises,41,8,,,,,,
expected,17,8,,,,,,
foundations,113,8,,,,,,
funds,80,8,,,,,,
grant,63,8,,,,,,
grants,92,8,,,,,,
growth,145,8,,,,,,
invest,44,8,,,,,,
investing,26,8,,,,,,
investors,79,8,,,,,,
like,200,8,,,,,,
loan,12,8,,,,,,
loans,18,8,,,,,,
market,132,8,,,,,,
markets,31,8,,,,,,
men,6,8,,,,,,
microfinance,17,8,,,,,,
mission,209,8,,,,,,
money,211,8,,,,,,
nonprofit,1127,8,,,,,,
people,443,8,,,,,,
philanthropic,89,8,,,,,,
policy,39,8,,,,,,
portfolio,18,8,,,,,,
power,76,8,,,,,,
private,94,8,,,,,,
program,262,8,,,,,,
research,194,8,,,,,,
risk,41,8,,,,,,
solutions,44,8,,,,,,
success,89,8,,,,,,
use,202,8,,,,,,
venture,100,8,,,,,,
women,29,8,,,,,,
work,281,8,,,,,,
change,189,9,,,,,,
community,147,9,,,,,,
corporation,47,9,,,,,,
corporations,51,9,,,,,,
development,107,9,,,,,,
economic,76,9,,,,,,
employees,68,9,,,,,,
environmental,65,9,,,,,,
financial,226,9,,,,,,
global,54,9,,,,,,
good,156,9,,,,,,
government,242,9,,,,,,
human,76,9,,,,,,
impact,243,9,,,,,,
information,163,9,,,,,,
integrated,21,9,,,,,,
international,39,9,,,,,,
investors,79,9,,,,,,
issues,79,9,,,,,,
local,190,9,,,,,,
management,229,9,,,,,,
managers,96,9,,,,,,
need,317,9,,,,,,
nonprofit,1127,9,,,,,,
organizations,720,9,,,,,,
people,443,9,,,,,,
percent,214,9,,,,,,
performance,157,9,,,,,,
products,57,9,,,,,,
public,230,9,,,,,,
report,44,9,,,,,,
reporting,30,9,,,,,,
resources,165,9,,,,,,
responsibility,45,9,,,,,,
said,95,9,,,,,,
society,23,9,,,,,,
support,197,9,,,,,,
sustainability,13,9,,,,,,
tax,55,9,,,,,,
time,328,9,,,,,,
way,179,9,,,,,,
women,29,9,,,,,,
world,100,9,,,,,,
